"srid","fips","name","proj4text","srswkt"
26944,404,"NAD83 / California zone 4","+proj=lcc +lat_1=37.25 +lat_2=36 +lat_0=35.33333333333334 +lon_0=-119 +x_0=2000000 +y_0=500000 +ellps=GRS80 +datum=NAD83 +units=m +no_defs","PROJCS[""NAD83 / California zone 4"",GEOGCS[""NAD83"",DATUM[""North_American_Datum_1983"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""6269""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4269""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""standard_parallel_1"",37.25],PARAMETER[""standard_parallel_2"",36],PARAMETER[""latitude_of_origin"",35.33333333333334],PARAMETER[""central_meridian"",-119],PARAMETER[""false_easting"",2000000],PARAMETER[""false_northing"",500000],AUTHORITY[""EPSG"",""26944""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]"
26945,405,"NAD83 / California zone 5","+proj=lcc +lat_1=35.46666666666667 +lat_2=34.03333333333333 +lat_0=33.5 +lon_0=-118 +x_0=2000000 +y_0=500000 +ellps=GRS80 +datum=NAD83 +units=m +no_defs","PROJCS[""NAD83 / California zone 5"",GEOGCS[""NAD83"",DATUM[""North_American_Datum_1983"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""6269""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4269""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""standard_parallel_1"",35.46666666666667],PARAMETER[""standard_parallel_2"",34.03333333333333],PARAMETER[""latitude_of_origin"",33.5],PARAMETER[""central_meridian"",-118],PARAMETER[""false_easting"",2000000],PARAMETER[""false_northing"",500000],AUTHORITY[""EPSG"",""26945""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]"
26946,406,"NAD83 / California zone 6","+proj=lcc +lat_1=33.88333333333333 +lat_2=32.78333333333333 +lat_0=32.16666666666666 +lon_0=-116.25 +x_0=2000000 +y_0=500000 +ellps=GRS80 +datum=NAD83 +units=m +no_defs","PROJCS[""NAD83 / California zone 6"",GEOGCS[""NAD83"",DATUM[""North_American_Datum_1983"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""6269""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4269""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""standard_parallel_1"",33.88333333333333],PARAMETER[""standard_parallel_2"",32.78333333333333],PARAMETER[""latitude_of_origin"",32.16666666666666],PARAMETER[""central_meridian"",-116.25],PARAMETER[""false_easting"",2000000],PARAMETER[""false_northing"",500000],AUTHORITY[""EPSG"",""26946""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]"
26953,501,"NAD83 / Colorado North","+proj=lcc +lat_1=40.78333333333333 +lat_2=39.71666666666667 +lat_0=39.33333333333334 +lon_0=-105.5 +x_0=914401.8289 +y_0=304800.6096 +ellps=GRS80 +datum=NAD83 +units=m +no_defs","PROJCS[""NAD83 / Colorado North"",GEOGCS[""NAD83"",DATUM[""North_American_Datum_1983"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""6269""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4269""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""standard_parallel_1"",40.78333333333333],PARAMETER[""standard_parallel_2"",39.71666666666667],PARAMETER[""latitude_of_origin"",39.33333333333334],PARAMETER[""central_meridian"",-105.5],PARAMETER[""false_easting"",914401.8289],PARAMETER[""false_northing"",304800.6096],AUTHORITY[""EPSG"",""26953""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]"
26954,502,"NAD83 / Colorado Central","+proj=lcc +lat_1=39.75 +lat_2=38.45 +lat_0=37.83333333333334 +lon_0=-105.5 +x_0=914401.8289 +y_0=304800.6096 +ellps=GRS80 +datum=NAD83 +units=m +no_defs","PROJCS[""NAD83 / Colorado Central"",GEOGCS[""NAD83"",DATUM[""North_American_Datum_1983"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""6269""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4269""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""standard_parallel_1"",39.75],PARAMETER[""standard_parallel_2"",38.45],PARAMETER[""latitude_of_origin"",37.83333333333334],PARAMETER[""central_meridian"",-105.5],PARAMETER[""false_easting"",914401.8289],PARAMETER[""false_northing"",304800.6096],AUTHORITY[""EPSG"",""26954""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]"
26955,503,"NAD83 / Colorado South","+proj=lcc +lat_1=38.43333333333333 +lat_2=37.23333333333333 +lat_0=36.66666666666666 +lon_0=-105.5 +x_0=914401.8289 +y_0=304800.6096 +ellps=GRS80 +datum=NAD83 +units=m +no_defs","PROJCS[""NAD83 / Colorado South"",GEOGCS[""NAD83"",DATUM[""North_American_Datum_1983"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""6269""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4269""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""standard_parallel_1"",38.43333333333333],PARAMETER[""standard_parallel_2"",37.23333333333333],PARAMETER[""latitude_of_origin"",36.66666666666666],PARAMETER[""central_meridian"",-105.5],PARAMETER[""false_easting"",914401.8289],PARAMETER[""false_northing"",304800.6096],AUTHORITY[""EPSG"",""26955""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]"
26956,600,"NAD83 / Connecticut","+proj=lcc +lat_1=41.86666666666667 +lat_2=41.2 +lat_0=40.83333333333334 +lon_0=-72.75 +x_0=304800.6096 +y_0=152400.3048 +ellps=GRS80 +datum=NAD83 +units=m +no_defs","PROJCS[""NAD83 / Connecticut"",GEOGCS[""NAD83"",DATUM[""North_American_Datum_1983"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""6269""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4269""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""standard_parallel_1"",41.86666666666667],PARAMETER[""standard_parallel_2"",41.2],PARAMETER[""latitude_of_origin"",40.83333333333334],PARAMETER[""central_meridian"",-72.75],PARAMETER[""false_easting"",304800.6096],PARAMETER[""false_northing"",152400.3048],AUTHORITY[""EPSG"",""26956""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]"
26957,700,"NAD83 / Delaware","+proj=tmerc +lat_0=38 +lon_0=-75.41666666666667 +k=0.999995 +x_0=200000 +y_0=0 +ellps=GRS80 +datum=NAD83 +units=m +no_defs","PROJCS[""NAD83 / Delaware"",GEOGCS[""NAD83"",DATUM[""North_American_Datum_1983"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""6269""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4269""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",38],PARAMETER[""central_meridian"",-75.41666666666667],PARAMETER[""scale_factor"",0.999995],PARAMETER[""false_easting"",200000],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""26957""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]"
26958,901,"NAD83 / Florida East","+proj=tmerc +lat_0=24.33333333333333 +lon_0=-81 +k=0.999941177 +x_0=200000 +y_0=0 +ellps=GRS80 +datum=NAD83 +units=m +no_defs","PROJCS[""NAD83 / Florida East"",GEOGCS[""NAD83"",DATUM[""North_American_Datum_1983"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""6269""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4269""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",24.33333333333333],PARAMETER[""central_meridian"",-81],PARAMETER[""scale_factor"",0.999941177],PARAMETER[""false_easting"",200000],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""26958""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]"
26959,902,"NAD83 / Florida West","+proj=tmerc +lat_0=24.33333333333333 +lon_0=-82 +k=0.999941177 +x_0=200000 +y_0=0 +ellps=GRS80 +datum=NAD83 +units=m +no_defs","PROJCS[""NAD83 / Florida West"",GEOGCS[""NAD83"",DATUM[""North_American_Datum_1983"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""6269""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4269""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",24.33333333333333],PARAMETER[""central_meridian"",-82],PARAMETER[""scale_factor"",0.999941177],PARAMETER[""false_easting"",200000],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""26959""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]"
26960,903,"NAD83 / Florida North","+proj=lcc +lat_1=30.75 +lat_2=29.58333333333333 +lat_0=29 +lon_0=-84.5 +x_0=600000 +y_0=0 +ellps=GRS80 +datum=NAD83 +units=m +no_defs","PROJCS[""NAD83 / Florida North"",GEOGCS[""NAD83"",DATUM[""North_American_Datum_1983"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""6269""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4269""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""standard_parallel_1"",30.75],PARAMETER[""standard_parallel_2"",29.58333333333333],PARAMETER[""latitude_of_origin"",29],PARAMETER[""central_meridian"",-84.5],PARAMETER[""false_easting"",600000],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""26960""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]"
26966,1001,"NAD83 / Georgia East","+proj=tmerc +lat_0=30 +lon_0=-82.16666666666667 +k=0.9999 +x_0=200000 +y_0=0 +ellps=GRS80 +datum=NAD83 +units=m +no_defs","PROJCS[""NAD83 / Georgia East"",GEOGCS[""NAD83"",DATUM[""North_American_Datum_1983"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""6269""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4269""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",30],PARAMETER[""central_meridian"",-82.16666666666667],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",200000],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""26966""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]"
26967,1002,"NAD83 / Georgia West","+proj=tmerc +lat_0=30 +lon_0=-84.16666666666667 +k=0.9999 +x_0=700000 +y_0=0 +ellps=GRS80 +datum=NAD83 +units=m +no_defs","PROJCS[""NAD83 / Georgia West"",GEOGCS[""NAD83"",DATUM[""North_American_Datum_1983"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""6269""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4269""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",30],PARAMETER[""central_meridian"",-84.16666666666667],PARAMETER[""scale_factor"",0.9999],PARAMETER[""false_easting"",700000],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""26967""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]"
26968,1101,"NAD83 / Idaho East","+proj=tmerc +lat_0=41.66666666666666 +lon_0=-112.1666666666667 +k=0.9999473679999999 +x_0=200000 +y_0=0 +ellps=GRS80 +datum=NAD83 +units=m +no_defs","PROJCS[""NAD83 / Idaho East"",GEOGCS[""NAD83"",DATUM[""North_American_Datum_1983"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""6269""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4269""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",41.66666666666666],PARAMETER[""central_meridian"",-112.1666666666667],PARAMETER[""scale_factor"",0.999947368],PARAMETER[""false_easting"",200000],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""26968""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]"
26969,1102,"NAD83 / Idaho Central","+proj=tmerc +lat_0=41.66666666666666 +lon_0=-114 +k=0.9999473679999999 +x_0=500000 +y_0=0 +ellps=GRS80 +datum=NAD83 +units=m +no_defs","PROJCS[""NAD83 / Idaho Central"",GEOGCS[""NAD83"",DATUM[""North_American_Datum_1983"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""6269""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.01745329251994328,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4269""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",41.66666666666666],PARAMETER[""central_meridian"",-114],PARAMETER[""scale_factor"",0.999947368],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],AUTHORITY[""EPSG"",""26969""],AXIS[""X"",EAST],AXIS[""Y"",NORTH]]"
