id,scrape_date,licenseno,status,licensetype,issuedate,exprdate,owner,premisesaddress,tract,business,mailaddress,geocode
18,2013-01-28,375252,ACTIVE,47,2001-07-02,2013-06-30,"FSRC BEVERAGE COMPANY INC","7210 BLUE HERON PL, CARLSBAD, CA  92011",0178.08,"FOUR SEASONS RESIDENCE CLUB","",3701
19,2013-01-28,381091,ACTIVE,47,2004-12-30,2013-11-30,"BUCA RESTAURANTS 2 INC","1921 CALLE BARCELONA, CARLSBAD, CA  92009",0176.01,"BUCA DI BEPPO","4700 MILLENIA BLVD STE 400 ORLANDO, FL  32839",3701
20,2013-01-28,477440,ACTIVE,47,2009-06-16,2013-05-31,"CASA DE BANDINI LLC","1901 CALLE BARCELONA, CARLSBAD, CA  92009-8402",0176.01,"CASA DE BANDINI","4133 TAYLOR ST SAN DIEGO, CA  92110-2740",3701
21,2013-01-28,481206,ACTIVE,47,2009-12-14,2013-11-30,"WY BURGER COMPANY","1923 CALLE BARCELONA, STE 148, CARLSBAD, CA  92009-8548",0176.01,"COUNTER CUSTOM BUILT BURGERS THE","",3701
22,2013-01-28,403883,ACTIVE,20,2003-11-19,2013-10-31,"JIMBOS NATURAL FAMILY INC","1923 CALLE BARCELONA, STE 149, CARLSBAD, CA  92009",0176.01,"JIMBOS NATURALLY","",3701
23,2013-01-28,413930,ACTIVE,20,2005-02-22,2013-01-31,"WINE LOFT LLC THE","1911 CALLE BARCELONA, STE 151, CARLSBAD, CA  92009",0176.01,"WINE LOFT THE","",3701
24,2013-01-28,413930,ACTIVE,42,2005-02-22,2013-01-31,"WINE LOFT LLC THE","1911 CALLE BARCELONA, STE 151, CARLSBAD, CA  92009",0176.01,"WINE LOFT THE","",3701
25,2013-01-28,459965,ACTIVE,21,2007-12-17,2013-11-30,"HENRYS HOLDINGS LLC","3243 CAMINO DE LOS COCHES, CARLSBAD, CA  92009",0171.09,"SPROUTS FARMERS MARKET","11811 N TATUM BLVD, STE 2400 PHOENIX, AZ  85028-1643",3701
26,2013-01-28,510708,ACTIVE,41,2011-07-26,2013-06-30,"CRUST PIZZERIA, LLC","3263 CAMINO DE LOS COCHES, CARLSBAD, CA  92009-8967",0171.09,"CRUST PIZZERIA","132 N HELIX SOLANA BEACH, CA  92075",3701
27,2013-01-28,312137,ACTIVE,20,1995-10-10,2013-09-30,"UM, CHARLES C","2382 CAMINO VIDA ROBLE, STE A, CARLSBAD, CA  92011",0221.00,"JC DELI & CATERING SERVICES","",3701
28,2013-01-28,145588,ACTIVE,41,1983-11-07,2013-08-31,"OCEANSIDE SEAFOODS INC","3179 CARLSBAD BLVD, CARLSBAD, CA  92008",0180.00,"HARBOR FISH CAFE","1010 S MAIN AVE FALLBROOK, CA  92028",3701
29,2013-01-28,231296,ACTIVE,41,1989-05-04,2013-06-30,"SHAKARJIAN, EDDY J","3126 CARLSBAD BLVD, CARLSBAD, CA  92008",0180.00,"ARMENIAN CAFE THE","",3701
30,2013-01-28,251331,ACTIVE,47,1990-11-29,2013-01-31,"NORTE INC","3003 CARLSBAD BLVD, CARLSBAD, CA  92008",0180.00,NORTE,"",3701
31,2013-01-28,273939,ACTIVE,47,1992-08-20,2013-09-30,"KING, JEFFREY T","2858 CARLSBAD BLVD, CARLSBAD, CA  92008",0180.00,"KO KO BEACH RESTAURANT","",3701
32,2013-01-28,335076,ACTIVE,47,1999-07-28,2013-03-31,"DINIS BY THE SEA LTD","3290 CARLSBAD BLVD, CARLSBAD, CA  92008",0180.00,"DINIS BY THE SEA","",3701
33,2013-01-28,363817,ACTIVE,63,2000-05-24,2013-04-30,"FRONT PORCH COMMUNITIES AND SERVICES","2855 CARLSBAD BLVD, CARLSBAD, CA  92008",0180.00,"CARLSBAD BY THE SEA RETIREMENT COMMUNITY","",3701
34,2013-01-28,409544,ACTIVE,41,2004-05-07,2013-10-31,"KO LLC","2937 CARLSBAD BLVD, CARLSBAD, CA  92008",0180.00,"KNOCKOUT PIZZA","2815 JEFFERSON ST, STE 301 CARLSBAD, CA  92008-1717",3701
35,2013-01-28,519970,ACTIVE,41,2012-07-12,2013-06-30,"MAZATLAN INC","2780 CARLSBAD BLVD, CARLSBAD, CA  92008-2209",0180.00,"SWAMIS CAFE","",3701
36,2013-01-28,448427,ACTIVE,47,2007-01-22,2013-01-31,"VIGILUCCIS RESTAURANTS GROUP INC","3878 CARLSBAD BLVD, CARLSBAD, CA  92008-4008",0180.00,"VIGILUCCIS SEAFOOD & STEAKHOUSE","",3701
37,2013-01-28,508434,ACTIVE,47,2011-04-13,2013-03-31,"TWO SEAS ENTERPRISES INC","6450 CARLSBAD BLVD, CARLSBAD, CA  92011-2002",0178.13,"HILTON GARDEN INN","",3701
38,2013-01-28,244167,ACTIVE,41,1990-04-25,2013-07-31,"PERKINS, KEVIN J","3001 CARLSBAD BLVD, STE A, CARLSBAD, CA  92008",0180.00,"DAILY NEWS CAFE THE","",3701
39,2013-01-28,367186,ACTIVE,41,2000-07-24,2013-10-31,"JAYS GOURMET RESTAURANTS","2975 CARLSBAD BLVD, STE B, CARLSBAD, CA  92008",0180.00,"JAYS GOURMET PIZZA AND SEAFOOD","",3701
40,2013-01-28,261616,ACTIVE,41,1991-07-15,2013-06-30,"HAWAII MULTI FOODS INC","795 CARLSBAD VILLAGE DR, CARLSBAD, CA  92008",0179.00,"ALS CAFE IN THE VILLAGE","",3701
41,2013-01-28,277113,ACTIVE,20,1994-09-14,2013-08-31,"HIGH DESERT OIL CO INC","920 CARLSBAD VILLAGE DR, CARLSBAD, CA  92008",0179.00,ULTRAMAR,"3781 TELEGRAPH RD VENTURA, CA  93003",3701
42,2013-01-28,336995,ACTIVE,41,1998-01-02,2013-12-31,"CHO, CHUNG C","1025 CARLSBAD VILLAGE DR, CARLSBAD, CA  92008",0179.00,"MIKKO JAPANESE CUISINE","",3701
43,2013-01-28,357738,ACTIVE,47,1999-11-17,2013-10-31,"TIBERIUS ANTRO RESTAURANTS INC","264 CARLSBAD VILLAGE DR, CARLSBAD, CA  92008",0180.00,"FRESCO TRETTORIA & BAR","",3701
44,2013-01-28,362343,ACTIVE,20,2000-08-16,2013-11-30,"GRAIN TO GREEN INC","561-571 CARLSBAD VILLAGE DR, CARLSBAD, CA  92008",0179.00,"PIZZA PORT & BREWING COMPANY","PO BOX 1697 CARLSBAD, CA  92018-1697",3701
45,2013-01-28,401103,ACTIVE,20,2003-08-18,2013-07-31,"CONTRACT MANAGEMENT SERVICES INC","1145 CARLSBAD VILLAGE DR, CARLSBAD, CA  92008",0178.01,"CARLSBAD VILLAGE SHELL","703 PALOMAR AIRPORT RD, STE 100 CARLSBAD, CA  92011-1041",3701
46,2013-01-28,403233,ACTIVE,47,2003-09-26,2013-08-31,"CARLSBAD RESTAURANTS INC","300 CARLSBAD VILLAGE DR, CARLSBAD, CA  92008",0180.00,"OCEAN HOUSE","",3701
47,2013-01-28,440651,ACTIVE,86,2006-08-23,2013-06-30,"NEW ALBERTSONS INC","955 CARLSBAD VILLAGE DR, CARLSBAD, CA  92008",0179.00,"ALBERTSONS 6701","PO BOX 20 BOISE, ID  83726-0020",3701
48,2013-01-28,440651,ACTIVE,21,2006-08-23,2013-06-30,"NEW ALBERTSONS INC","955 CARLSBAD VILLAGE DR, CARLSBAD, CA  92008",0179.00,"ALBERTSONS 6701","PO BOX 20 BOISE, ID  83726-0020",3701
49,2013-01-28,514859,ACTIVE,47,2012-03-19,2013-02-28,"CARLSBAD FISH HOUSE, INC.","417 CARLSBAD VILLAGE DR, CARLSBAD, CA  92008",0179.00,"FISH HOUSE VERA CRUZ","3585 MAIN ST, STE 212 RIVERSIDE, CA  92501",3701
50,2013-01-28,338326,ACTIVE,21,1998-02-05,2013-04-30,"TEXAS LIQUOR INC","945 CARLSBAD VILLAGE DR, CARLSBAD, CA  92008-1802",0179.00,"TEXAS WINE & SPIRITS","",3701
51,2013-01-28,338326,ACTIVE,86,1998-02-05,2013-04-30,"TEXAS LIQUOR INC","945 CARLSBAD VILLAGE DR, CARLSBAD, CA  92008-1802",0179.00,"TEXAS WINE & SPIRITS","",3701
52,2013-01-28,510476,ACTIVE,20,2011-07-14,2013-06-30,"7 ELEVEN INC","1089 CARLSBAD VILLAGE DR, CARLSBAD, CA  92008-1804",0179.00,"7-ELEVEN 39310","PO BOX 219088 DALLAS, TX  75221-9088",3701
53,2013-01-28,510535,ACTIVE,47,2011-07-13,2013-06-30,"PAON CARLSBAD LLC","660 CARLSBAD VILLAGE DR, CARLSBAD, CA  92008-2305",0179.00,"CATCH CARLSBAD","",3701
54,2013-01-28,477984,ACTIVE,20,2009-07-20,2013-06-30,"PAON CARLSBAD LLC","560 CARLSBAD VILLAGE DR, CARLSBAD, CA  92008-2321",0179.00,"PAON WINE","2975 ROOSEVELT ST CARLSBAD, CA  92008",3701
55,2013-01-28,477984,ACTIVE,42,2009-07-20,2013-06-30,"PAON CARLSBAD LLC","560 CARLSBAD VILLAGE DR, CARLSBAD, CA  92008-2321",0179.00,"PAON WINE","2975 ROOSEVELT ST CARLSBAD, CA  92008",3701
56,2013-01-28,472594,ACTIVE,41,2009-01-26,2012-12-31,"MAS DINERO INC","377 CARLSBAD VILLAGE DR, CARLSBAD, CA  92008-2918",0180.00,"SENOR GRUBBYS","",3701
57,2013-01-28,522166,ACTIVE,21,2012-07-18,2013-06-30,"JIORAS, ROBERT GARY","305 CARLSBAD VILLAGE DR, CARLSBAD, CA  92008-2918",0180.00,"ROYAL PALM","",3701
58,2013-01-28,479188,ACTIVE,47,2009-08-11,2013-05-31,"PAON CARLSBAD LLC","560 CARLSBAD VILLAGE DR, STE 102, CARLSBAD, CA  92008-2391",0179.00,"PAON RESTAURANT","2975 ROOSEVELT ST CARLSBAD, CA  92008",3701
59,2013-01-28,476289,ACTIVE,41,2009-07-02,2013-06-30,"MTA INTERNATIONAL LLC","300 CARLSBAD VILLAGE DR, STE 106, CARLSBAD, CA  92008-2990",0180.00,"MEDITERRANEAN CAFE","",3701
60,2013-01-28,462183,ACTIVE,41,2008-02-26,2013-01-31,"INFUSED FOOD INC","300 CARLSBAD VILLAGE DR, STE 107A, CARLSBAD, CA  92008-2990",0180.00,"NAKED CAFE","521 MAR VISTA DR SOLANA BEACH, CA  92075-1329",3701
61,2013-01-28,233424,ACTIVE,47,1989-07-17,2013-06-30,"A Y I INC","300 CARLSBAD VILLAGE DR, STE 114, CARLSBAD, CA  92008",0180.00,"","PO BOX 1575 CARLSBAD, CA  92018",3701
62,2013-01-28,512448,ACTIVE,47,2011-10-20,2013-09-30,"JETTIES, INC.","300 CARLSBAD VILLAGE DR, STE 202, CARLSBAD, CA  92008",0180.00,"COMPASS FOOD AND DRINK THE","",3701
63,2013-01-28,521465,ACTIVE,47,2012-08-08,2013-07-31,"GREGORIOS,  L.L.C.","300 CARLSBAD VILLAGE DR, STE 208, CARLSBAD, CA  92008-2991",0180.00,GREGORIOS,"",3701
64,2013-01-28,472766,ACTIVE,41,2010-04-26,2013-03-31,"SHIMADA, TADASHI","300 CARLSBAD VILLAGE DR, STE 214, CARLSBAD, CA  92008-2991",0180.00,"SUSHI TAISHO","6920 MIRAMAR RD, STE 101 C/O PHILIP CHANG, SAN DIEGO, CA  92121-2641",3701
65,2013-01-28,430471,ACTIVE,41,2005-10-12,2013-09-30,"MORALES, CATALINA","1065 CARLSBAD VILLAGE DR, STE D, CARLSBAD, CA  92008",0179.00,"EL PUERTO MEXICAN & SEAFOOD","4456 MAPLE DR OCEANSIDE, CA  92056",3701
66,2013-01-28,398497,ACTIVE,48,2003-04-18,2013-05-31,"GOLDEN TEE COCKTAIL LOUNGE INC","1065 CARLSBAD VILLAGE DR, STE F, CARLSBAD, CA  92008-1884",0179.00,"GOLDEN TEE COCKTAIL LOUNGE","",3701
67,2013-01-28,516169,ACTIVE,20,2011-12-20,2013-11-30,"PRESS CELLARS, LLC","331 CHESTNUT AVE, CARLSBAD, CA  92008-3114",0180.00,"PRESS CELLARS","",3701
68,2013-01-28,487979,ACTIVE,47,2010-10-07,2013-09-30,"LC TRS INC","2100 COSTA DEL MAR RD, CARLSBAD, CA  92009-6823",0200.14,"LA COSTA RESORT & SPA","",3701
69,2013-01-28,405394,ACTIVE,20,2003-10-29,2013-09-30,"PACIFIC OIL SERVICES INC","2590 EL CAMINO REAL, CARLSBAD, CA  92008",0198.03,"CAMINO SHELL","",3701
70,2013-01-28,64613,ACTIVE,21,1976-12-01,2013-06-30,"VONS COMPANIES INC THE","2560 EL CAMINO REAL, CARLSBAD, CA  92008",0198.03,"VONS 2142","PO BOX 29096 PHOENIX, AZ  85038-9096",3701
71,2013-01-28,449418,ACTIVE,20,2007-12-21,2013-06-30,"CHEVRON STATIONS INC","2500 EL CAMINO REAL, CARLSBAD, CA  92008-1201",0198.03,"CHEVRON 1978 91312","PO BOX 2292, BUSINESS LICENSE & PERMIT BREA, CA  92822-2292",3701
72,2013-01-28,515968,ACTIVE,41,2011-11-30,2013-10-31,"WEST BUFFET CARLSBAD INC.","2515 EL CAMINO REAL, CARLSBAD, CA  92008-1202",0178.01,"WEST BUFFET","",3701
73,2013-01-28,484246,ACTIVE,41,2009-12-08,2013-11-30,"EL CAMINO CATERING INC","2559 EL CAMINO REAL, CARLSBAD, CA  92008-1212",0178.01,"NEW WORLD RESTAURANT","2424  GIRD RD FALLBROOK, CA  92028",3701
74,2013-01-28,478241,ACTIVE,21,2009-06-29,2013-11-30,"HENRYS HOLDINGS LLC","2618 EL CAMINO REAL, CARLSBAD, CA  92008-1251",0198.03,"SPROUTS FARMERS MARKETS","11811 N TATUM BLVD, STE 2400 PHOENIX, AZ  85028-1643",3701
75,2013-01-28,479662,ACTIVE,21,2009-09-10,2013-08-31,"GARFIELD BEACH CVS LLC","2510 EL CAMINO REAL, CARLSBAD, CA  92008-1273",0198.03,"CVS PHARMACY 9479","1 CVS DR, MAIL DROP 23062A WOONSOCKET, RI  02895-6146",3701
76,2013-01-28,245687,ACTIVE,21,1990-10-19,2013-06-30,"VONS COMPANIES INC THE","6951 EL CAMINO REAL, CARLSBAD, CA  92009",0221.00,"VONS 2065","PO BOX 29096 PHOENIX, AZ  85038-9096",3701
77,2013-01-28,402372,ACTIVE,20,2003-11-06,2013-10-31,"CARLSBAD FUELS CORP","7602 EL CAMINO REAL, CARLSBAD, CA  92009",0200.13,"UNOCAL 76 FOOD MART","2240 ENCINITAS BLVD, #401 ENCINITAS, CA  92024-4345",3701
78,2013-01-28,440657,ACTIVE,21,2006-08-23,2013-06-30,"NEW ALBERTSONS INC","7660 EL CAMINO REAL, CARLSBAD, CA  92009",0200.13,"ALBERTSONS 6720","PO BOX 20 BOISE, ID  83726-0020",3701
79,2013-01-28,440657,ACTIVE,86,2006-08-23,2013-06-30,"NEW ALBERTSONS INC","7660 EL CAMINO REAL, CARLSBAD, CA  92009",0200.13,"ALBERTSONS 6720","PO BOX 20 BOISE, ID  83726-0020",3701
80,2013-01-28,506174,ACTIVE,47,2011-02-24,2013-01-31,"DAY CAMINO RESTAURANT LLC","6996 EL CAMINO REAL, CARLSBAD, CA  92009-4107",0200.13,"IGNITE! FIRE CRAFTED FOOD + BAR","",3701
81,2013-01-28,514219,ACTIVE,47,2012-01-18,2012-12-31,"LHC FOOD & BEVERAGE LLC","6941 EL CAMINO REAL, CARLSBAD, CA  92009-4108",0221.00,"CINEPOLIS LUXURY CINEMAS","8383 WILSHIRE BLVD, STE 302 BEVERLY HILLS, CA  90211",3701
82,2013-01-28,485678,ACTIVE,41,2010-03-03,2013-02-28,"WP GOLF AND EQUESTRIAN LLC","5200 EL CAMINO REAL, CARLSBAD, CA  92010-7118",0198.06,"RANCHO CARLSBAD GOLF COURSE","5796 ARMADA DR, STE 300 CARLSBAD, CA  92008-4694",3701
83,2013-01-28,487241,ACTIVE,41,2010-07-13,2013-06-30,"CARLSBAD PPR INC","6985 EL CAMINO REAL , STE 108, CARLSBAD, CA  92009-4148",0221.00,"TIN LEAF FRESH KITCHEN","2790 TRUXTUN RD, # 120 SAN DIEGO, CA  92106",3701
84,2013-01-28,507457,ACTIVE,41,2011-05-31,2013-04-30,"WREATH BEVERAGE LLC","6981 EL CAMINO REAL, STE 101, CARLSBAD, CA  92009-4149",0221.00,"DAPHNES GREEK CAFE","1350 AVENUE OF THE AMERICAS , 9TH FL NEW YORK, NY  10019-4702",3701
85,2013-01-28,484658,ACTIVE,41,2010-01-19,2013-12-31,"RUDYS LA COSTA CORP","7662 EL CAMINO REAL, STE 102, CARLSBAD, CA  92009-7903",0200.13,"RUDYS TACO SHOP","303 W D ST ENCINITAS, CA  92024-3419",3701
86,2013-01-28,261971,ACTIVE,47,1991-08-02,2013-01-31,"MAGGIORE, PATRICIA ALICE","6981 EL CAMINO REAL, STE 103, CARLSBAD, CA  92009",0221.00,"TUSCANY RESTAURANT","",3701
87,2013-01-28,461144,ACTIVE,41,2007-12-24,2013-11-30,"FLIPPIN 5 LA COSTA LLC","7662 EL CAMINO REAL, STE 103, CARLSBAD, CA  92009",0200.13,"FLIPPIN PIZZA","2815 JEFFERSON ST, STE 301 CARLSBAD, CA  92008-1717",3701
88,2013-01-28,468700,ACTIVE,41,2008-08-29,2013-07-31,"GOURMET CUISINE INC","7670 EL CAMINO REAL, STE 104, CARLSBAD, CA  92009-7933",0200.13,"BROKEN YOLK CAFE THE","",3701
89,2013-01-28,507593,ACTIVE,41,2011-03-25,2013-02-28,"JOEYBART INC","6955 EL CAMINO REAL, STE 107, CARLSBAD, CA  92009",0221.00,"JOEYS SMOKING BBQ","",3701
90,2013-01-28,507100,ACTIVE,41,2011-02-11,2013-01-31,"FRITZ GLOBAL ENTERPRISES INC","6965 EL CAMINO REAL, STE 205, CARLSBAD, CA  92009-4102",0221.00,"EL CARIBE GRILL","3410 MONROE ST, APT C CARLSBAD, CA  92008-2049",3701
91,2013-01-28,339357,ACTIVE,41,1998-04-20,2013-12-31,"RUBIOS RESTAURANTS INC","2604 EL CAMINO REAL, STE A, CARLSBAD, CA  92008",0198.03,"RUBIOS FRESH MEXICAN GRILL 29","1902 WRIGHT PL, STE 300 CARLSBAD, CA  92008-6583",3701
92,2013-01-28,478813,ACTIVE,41,2009-07-07,2013-06-30,"HOOKED ON SUSHI INC","2508 EL CAMINO REAL, STE A, CARLSBAD, CA  92008-1203",0198.03,"HOOKED ON SUSHI","",3701
93,2013-01-28,523047,ACTIVE,21,2012-08-10,2013-07-31,"COUNTRY WINE & SPIRITS INC","4901 EL CAMINO REAL, STE A, CARLSBAD, CA  92008-3748",0178.10,"COUNTRY WINE & SPIRITS","",3701
94,2013-01-28,12439,ACTIVE,41,1979-05-07,2013-09-30,"M & E RESTAURANT CORP","2622 EL CAMINO REAL, STE B, CARLSBAD, CA  92008",0198.03,"THAT PIZZA PLACE","",3701
95,2013-01-28,394972,ACTIVE,41,2003-01-16,2012-12-31,"RAMIREZ, JULIO HENRY","5810 EL CAMINO REAL, STE B, CARLSBAD, CA  92008",0198.06,"LA FIESTA DELI","1298 BUENA VISTA WY CARLSBAD, CA  92008",3701
96,2013-01-28,485788,ACTIVE,41,2010-03-24,2013-02-28,"ROCK & ROLL SUSHI LLC","7720 EL CAMINO REAL, STE B, CARLSBAD, CA  92009-8509",0200.13,"ROCK & ROLL SUSHI","",3701
97,2013-01-28,460742,ACTIVE,41,2008-02-04,2013-01-31,"LEE, BRANDON","6949 EL CAMINO REAL, STE C-201B, CARLSBAD, CA  92009-4140",0221.00,"TOMOYAMA SUSHI","",3701
98,2013-01-28,472806,ACTIVE,20,2008-12-02,2013-11-30,"SOCAL LIBERTY INC","6986 EL CAMINO REAL, STE D, CARLSBAD, CA  92009-4110",0200.13,"LA COSTA WINE CO WINE STREET","",3701
99,2013-01-28,472806,ACTIVE,42,2008-12-02,2013-11-30,"SOCAL LIBERTY INC","6986 EL CAMINO REAL, STE D, CARLSBAD, CA  92009-4110",0200.13,"LA COSTA WINE CO WINE STREET","",3701
100,2013-01-28,477114,ACTIVE,41,2009-06-12,2013-05-31,"MONTEVERDE FOODS","2508 EL CAMINO REAL, STE E, CARLSBAD, CA  92008-1203",0198.03,"SPIRITOS ITALIAN DINER","",3701
101,2013-01-28,304627,ACTIVE,41,1995-02-21,2013-01-31,"SLIWA, ROBERT G","4901 EL CAMINO REAL, STE F, CARLSBAD, CA  92008",0178.10,"BOBBYS HIDEAWAY CAFE","",3701
102,2013-01-28,359692,ACTIVE,41,1999-12-17,2013-11-30,"SZECHUAN GARDEN LC INC","6990 EL CAMINO REAL, STE K, CARLSBAD, CA  92009",0200.13,"PEKING GARDEN RESTAURANT","",3701
103,2013-01-28,463664,ACTIVE,41,2008-03-19,2013-02-28,"WING DOC I INC","2508 EL CAMINO REAL, UNIT C1, CARLSBAD, CA  92008-1203",0198.03,WINGSTOP,"",3701
104,2013-01-28,354762,ACTIVE,70,1999-09-07,2013-08-31,"CARLSBAD HHG HOTEL DEVELOPMENT L-PSHIP","2000 FARADAY AVE, CARLSBAD, CA  92008",0221.00,"RESIDENCE INN BY MARRIOTT","105 DECKER COURT, SUITE 500 IRVING, TX  75062-2767",3701
105,2013-01-28,510523,ACTIVE,20,2011-06-21,2013-01-31,"4 WINES PLUS MORE LLC","2231 FARADAY AVE, STE 150, CARLSBAD, CA  92008-7260",0221.00,"4 WINES PLUS MORE LLC","",3701
106,2013-01-28,328620,ACTIVE,47,1998-01-07,2013-12-31,"FSRC BEVERAGE COMPANY INC","7057 FINCH LN, CARLSBAD, CA  92011",0178.08,"AVIARA GOLF CLUB POOL AREA","7210 BLUE HERON PL CARLSBAD, CA  92011",3701
107,2013-01-28,328624,ACTIVE,21,1997-09-10,2013-08-31,"FSRC BEVERAGE COMPANY INC","7057 FINCH LN, STE A, CARLSBAD, CA  92011",0178.08,"","7210 BLUE HERON PL CARLSBAD, CA  92011",3701
108,2013-01-28,328604,ACTIVE,47,1997-07-25,2013-12-31,"AVIARA BEVERAGE COMPANY INC","7100 FOUR SEASONS, CARLSBAD, CA  92011-4908",0178.08,"PARK HYATT AVIARA","",3701
109,2013-01-28,523121,ACTIVE,41,2012-08-17,2013-07-31,"R2 FOODS, LLC","2675 GATEWAY DR, STE 101, CARLSBAD, CA  92009-1765",0200.13,KASI,"PO BOX 5000, PMB 116 RANCHO SANTA FE, CA  92067",3701
110,2013-01-28,445320,ACTIVE,21,2009-01-20,2013-12-31,"STATER BROS MARKETS","2687 GATEWAY RD, CARLSBAD, CA  92009-1726",0200.13,"STATER BROS SUPERMARKET","PO BOX 150 SAN BERNARDINO, CA  92402-0150",3701
111,2013-01-28,445423,ACTIVE,21,2009-01-28,2013-06-30,"TRADER JOES COMPANY","2629 GATEWAY RD, CARLSBAD, CA  92009-1726",0200.13,"TRADER JOES 220","800 S SHAMROCK AVE MONROVIA, CA  91016-6346",3701
112,2013-01-28,445220,ACTIVE,20,2008-04-18,2013-03-31,"BRESSI RANCH FUEL MART LLC","2741 GATEWAY RD, CARLSBAD, CA  92009-1743",0200.13,"BRESSI RANCH FUEL MART","",3701
