address,city,state,zip
"400 Redondo Drive ",OCEANSIDE,CA,92057
"4300 Crater Lake Way ",OCEANSIDE,CA,92058
"4500 Calle Del Palo ",OCEANSIDE,CA,92057
"4500 Mardi Gras Street ",OCEANSIDE,CA,92057
"4700 Calle Las Positas ",OCEANSIDE,CA,92057
"4700 Sequoia Place ",OCEANSIDE,CA,92057
"4700 Stephanie Place ",OCEANSIDE,CA,92057
"4800 Sol Sitio Street ",OCEANSIDE,CA,92057
"4800 Tacayme Drive ",OCEANSIDE,CA,92057
"500 Big Bend Way ",OCEANSIDE,CA,92054
"500 Big Sky Drive ",OCEANSIDE,CA,92058
"500 Los Arbolitos Boulevard ",OCEANSIDE,CA,92054
"5200 Mandarin Drive ",OCEANSIDE,CA,92056
"5300 Rio Plata Drive ",OCEANSIDE,CA,92057
"600 Charles Drive ",OCEANSIDE,CA,92057
"700 Point Reyes ",OCEANSIDE,CA,92054
"700 Rena Drive ",OCEANSIDE,CA,92057
"800 Dana Point Way ",OCEANSIDE,CA,92054
"3800 Mission Avenue ",OCEANSIDE,CA,92057
"4100 Tiberon Drive ",OCEANSIDE,CA,92056
"3100 Morningside Drive ",OCEANSIDE,CA,92056
"1800 Laurel Road ",OCEANSIDE,CA,92054
"3200 Production Avenue ",OCEANSIDE,CA,92054
"500 Mesa Breeze Way ",OCEANSIDE,CA,92054
"3500 Mc Intire Circle ",OCEANSIDE,CA,92056
"1200 Ivey Ranch Road ",OCEANSIDE,CA,92057
"800 S Pacific Street ",OCEANSIDE,CA,92054
"700 S 10 Th Street ",RAMONA,CA,92065
"1400 N Santa Fe Avenue ",VISTA,CA,92084
"10800 Sr - 67 ",LAKESIDE,CA,92040
"13200 Aurora Drive ",LAKESIDE,CA,92021
"400 Carvalos Drive ",BONITA,CA,91910
"10000 Gem Tree Way ",SANTEE,CA,92071
"10200 Quail Canyon Road ","",CA,92021
"1100 San Julian Drive ","",CA,92078
"11200 Gold Bar Way ",LAKESIDE,CA,92040
"13000 Carriage Road ",POWAY,CA,92064
"13400 I - 8 Business ",LAKESIDE,CA,92040
"13900 El Monte Road ",LAKESIDE,CA,92040
"1500 Sun Dial Terrace ","",CA,92021
"15400 Olde Highway 80 ","",CA,92021
"1600 Penasco Road ","",CA,92019
"200 Chinaberry Lane ","SAN MARCOS",CA,92069
"400 E Bradley Avenue ","",CA,92021
"600 Ida Avenue ","SOLANA BEACH",CA,92075
"700 Sycamore Avenue ",VISTA,CA,92083
"8800 Bushy Hill Drive ",SANTEE,CA,92071
"9400 Single Oak Drive ",LAKESIDE,CA,92040
"12100 Orange Crest Court ",LAKESIDE,CA,92040
"8900 Gorge Place ",SANTEE,CA,92071
"1000 Park Hill Lane ","",CA,92025
"1700 Silverfox Lane ",FALLBROOK,CA,92028
"400 03 Rd Avenue ","SAN DIEGO",CA,92101
"10800 Aderman Avenue ","SAN DIEGO",CA,92126
"1400 Cactusridge Street ","SAN DIEGO",CA,92105
"1400 Honeysuckle Lane ","SAN DIEGO",CA,92114
"1500 Torrey Pines Road ","SAN DIEGO",CA,92037
"1700 Attix Street ","SAN DIEGO",CA,92114
"2100 Grand Avenue ","SAN DIEGO",CA,92109
"2300 Leonardo Street ",NON-REGIONAL,CA,""
"2300 Paseo Dorado ","SAN DIEGO",CA,92037
"3000 Logan Avenue ","SAN DIEGO",CA,92113
"4300 Landis Street ","SAN DIEGO",CA,92105
"5100 Balboa Arms Drive ","SAN DIEGO",CA,92117
"7100 Navajo Road ","SAN DIEGO",CA,92119
"7400 Goode Street ","SAN DIEGO",CA,92139
"7600 Golfcrest Drive ","SAN DIEGO",CA,92119
"7800 Eads Avenue ","SAN DIEGO",CA,92037
"9300 Balboa Avenue ","SAN DIEGO",CA,92123
"3800 Marlborough Avenue ","SAN DIEGO",CA,92105
"3900 0 8 Th Avenue ","SAN DIEGO",CA,92103
"6000 Chandler Drive ","SAN DIEGO",CA,92117
"4300 46 Th Street ","SAN DIEGO",CA,92115
"2700 Howard Avenue ","SAN DIEGO",CA,92104
"7000 Friars Road ","SAN DIEGO",CA,92108
"800 Missouri Street ","SAN DIEGO",CA,92109
"800 05 Th Avenue ","SAN DIEGO",CA,92101
"9200 Village Glen Drive ","SAN DIEGO",CA,92123
"2600 Katherine Street ","EL CAJON",CA,92020
"400 Grant Avenue ","EL CAJON",CA,92020
"500 Lincoln Avenue ","EL CAJON",CA,92020
"600 Skyview Street ","EL CAJON",CA,92020
"100 Valley Boulevard ",ESCONDIDO,CA,92025
"500 W 11 Th Avenue ",ESCONDIDO,CA,92025
"5000 Comanche Drive ","LA MESA",CA,91941
"5000 Williams Avenue ","LA MESA",CA,91941
"7500 Olive Place ","LA MESA",CA,91941
"8200 Lemon Grove Way ","LEMON GROVE",CA,91945
"0 N Clairmont Avenue ","NATIONAL CITY",CA,91950
"2700 E 0 8 Th Street ","NATIONAL CITY",CA,91950
"3500 Windrift Way ",OCEANSIDE,CA,92056
"1900 S Santa Fe Avenue ","",CA,92083
"100 Eaton Way ",VISTA,CA,92084
"1200 Calle Jules ",VISTA,CA,92084
"12300 Kerran Street ",POWAY,CA,92064
"12300 Lakeshore Drive ",LAKESIDE,CA,92040
"1400 Alturas Road ",FALLBROOK,CA,92028
"14600 Winter Creek Lane ","VALLEY CENTER",CA,92082
"1500 Angelus Avenue ","LEMON GROVE",CA,91945
"200 N Mission Road ",FALLBROOK,CA,92028
"200 W San Marcos Boulevard ","SAN MARCOS",CA,92069
"28200 N Lake Wohlford Road ","VALLEY CENTER",CA,92082
"300 Marcos Street ","SAN MARCOS",CA,92069
"300 Santa Fe Drive ",ENCINITAS,CA,92007
"300 N Melrose Drive ",VISTA,CA,92083
"400 Ammunition Road ",FALLBROOK,CA,92028
"400 E Indian Rock Road ",VISTA,CA,92084
"400 W Mission Road ","SAN MARCOS",CA,92069
"7600 Broadway ","LEMON GROVE",CA,91945
"8300 Baranca Court ","SPRING VALLEY",CA,91977
"8400 Avnda Angulia ","SPRING VALLEY",CA,91977
"9300 Bakbia Avenue ","COUNTY UNINCORPORATED",CA,""
"1500 Primera Street ","LEMON GROVE",CA,91945
"0 Unknown ",UNKNOWN,CA,""
"1100 Alturas Road ",FALLBROOK,CA,92028
"13600 E Lakeview Road ",LAKESIDE,CA,92040
"1800 Gatepost Road ",ENCINITAS,CA,92024
"3800 Linda Vista Drive ","SAN MARCOS",CA,92078
"9400 Winter Gardens Boulevard ",LAKESIDE,CA,92040
"200 Citrus Avenue ","IMPERIAL BEACH",CA,91932
"500 Opal Drive ",JULIAN,CA,92036
"14400 Rios Canyon Road ","",CA,92021
"1900 Arnold Way ",ALPINE,CA,91901
"600 Santa Helena ","SOLANA BEACH",CA,92075
"6200 Miramar Road ","SAN DIEGO",CA,92121
"100 Coolwater Drive ","SAN DIEGO",CA,92114
"1000 B Street ","SAN DIEGO",CA,92101
"1000 Kelton Road ","SAN DIEGO",CA,92114
"10500 Viacha Drive ","SAN DIEGO",CA,92124
"10600 Birch Bluff Avenue ","SAN DIEGO",CA,92131
"1200 Debenmark Place ","SAN DIEGO",CA,92154
"12400 Via Cabezon ","SAN DIEGO",CA,92129
"12600 High Bluff Drive ","SAN DIEGO",CA,92130
"1300 Kenalan Drive ","SAN DIEGO",CA,92154
"1600 Guy Street ","SAN DIEGO",CA,92103
"1800 Sunset Cliffs Boulevard ","SAN DIEGO",CA,92107
"200 Willie James Jones Avenue ","SAN DIEGO",CA,92102
"200 N 03 Rd Street ","SAN DIEGO",CA,""
"200 W Verdugo Avenue ","SAN DIEGO",CA,""
"2000 Harrison Avenue ","SAN DIEGO",CA,92113
"2000 Oriole Street ","SAN DIEGO",CA,92114
"2400 Fairmount Avenue ","SAN DIEGO",CA,92105
"2700 Tuscaloosa Street ","SAN DIEGO",CA,92110
"2800 Madison Avenue ","SAN DIEGO",CA,92116
"2900 Clay Avenue ","SAN DIEGO",CA,92113
"300 17 Th Street ","SAN DIEGO",CA,92101
"3100 De Vinci ","SAN DIEGO",CA,""
"3800 50 Th Street ","SAN DIEGO",CA,92105
"3900 Sequoia Street ","SAN DIEGO",CA,92109
"400 Cuyamaca Avenue ","SAN DIEGO",CA,92113
"400 Tulare Street ",NON-REGIONAL,CA,""
"4000 0 8 Th Avenue ","SAN DIEGO",CA,92103
"4000 Messina Drive ","SAN DIEGO",CA,92113
"4100 35 Th Street ","SAN DIEGO",CA,92104
"4100 Utah Street ","SAN DIEGO",CA,92104
"4100 West Point Loma Boulevard ","SAN DIEGO",CA,92110
"4300 49 Th Street ","SAN DIEGO",CA,92115
"4300 51 St Street ","SAN DIEGO",CA,92115
"4400 Campus Avenue ","SAN DIEGO",CA,92116
"4600 Zion Avenue ","SAN DIEGO",CA,92120
"4700 East Mtn View Drive ","SAN DIEGO",CA,92116
"4800 Jarrett Court ","SAN DIEGO",CA,92113
"500 Palmwood Drive ","SAN DIEGO",CA,92139
"5400 Redland Drive ","SAN DIEGO",CA,92115
"5400 Santa Margarita Street ","SAN DIEGO",CA,92114
"5500 Lenox Drive ","SAN DIEGO",CA,92114
"5800 Thorn Street ","SAN DIEGO",CA,92105
"600 Sears Avenue ","SAN DIEGO",CA,92114
"600 S 42 Nd Street ","SAN DIEGO",CA,92113
"6200 Camto Del Oeste ","SAN DIEGO",CA,92111
"6300 Lambda Drive ","SAN DIEGO",CA,92120
"700 Carefree Drive ","SAN DIEGO",CA,92114
"7100 Jacmar Avenue ","SAN DIEGO",CA,92114
"7500 Tuscany Lane ","SAN DIEGO",CA,92126
"7500 Wallingford Court ","SAN DIEGO",CA,92126
"7800 Skyline Drive ","SAN DIEGO",CA,92114
"7900 Cronan Circle ","SAN DIEGO",CA,92126
"8700 Complex Drive ","SAN DIEGO",CA,92123
"900 W Dakota Avenue ","SAN DIEGO",CA,""
"9300 Babauta Road ","SAN DIEGO",CA,92129
"9900 Connell Road ","SAN DIEGO",CA,92131
"3000 Ingelow Street ","SAN DIEGO",CA,92106
"3100 North Harbor Drive ","SAN DIEGO",CA,92101
"8800 Pinecrest Avenue ","SAN DIEGO",CA,92123
"10200 Bordelon Street ","SAN DIEGO",CA,92124
"11400 Scripps Creek Drive ","SAN DIEGO",CA,92131
"200 Parkbrook Way ","SAN DIEGO",CA,92114
"3200 Webster Avenue ","SAN DIEGO",CA,92113
"4200 40 Th Street ","SAN DIEGO",CA,92105
"4700 W Mountain View Drive ","SAN DIEGO",CA,""
"800 Angelus Avenue ","SAN DIEGO",CA,92114
"4200 Manzanita Drive ","SAN DIEGO",CA,92105
"4200 Poplar Street ","SAN DIEGO",CA,92105
"1600 06 Th Avenue ","SAN DIEGO",CA,92101
"2400 University Avenue ","SAN DIEGO",CA,92104
"2300 Modesto Street ","SAN DIEGO",CA,92105
"500 Townsite Drive ",VISTA,CA,92083
"1300 Olive Avenue ",VISTA,CA,92083
"900 National City Boulevard ","NATIONAL CITY",CA,91950
"11200 Gold Pan Alley ",LAKESIDE,CA,92040
"24800 Celtic Court ",RAMONA,CA,92065
"500 Market Street ","SAN DIEGO",CA,92101
"500 W 0 8 Th Street ","NATIONAL CITY",CA,92136
"6200 Henderson Drive ","LA MESA",CA,91942
"4200 Wightman Street ","SAN DIEGO",CA,92105
"600 04 Th Avenue ","SAN DIEGO",CA,92101
"10200 Mast Boulevard ",SANTEE,CA,92071
"300 Broadway ","CHULA VISTA",CA,91910
"2300 Shelter Island Drive ","SAN DIEGO",CA,92106
"4200 Wilson Avenue ","SAN DIEGO",CA,92104
"14100 Community Road ",POWAY,CA,92064
"300 04 Th Avenue ","SAN DIEGO",CA,92101
"200 65 Th Street ","SAN DIEGO",CA,92114
"500 W Washington Avenue ",ESCONDIDO,CA,92025
"600 W Lincoln Avenue ",ESCONDIDO,CA,92026
"4500 Bond Street ","SAN DIEGO",CA,92109
"6700 Benson Avenue ","SAN DIEGO",CA,92114
"500 Requeza Street ",ENCINITAS,CA,92024
"2700 State Street ",CARLSBAD,CA,92008
"700 05 Th Avenue ","SAN DIEGO",CA,92101
"1200 E Palomar Street ","CHULA VISTA",CA,91913
"2300 Presidio Drive ","SAN DIEGO",CA,92103
"500 F Street ","SAN DIEGO",CA,92101
"10900 North Torrey Pines Road ","SAN DIEGO",CA,92037
"200 Kennedy Street ","CHULA VISTA",CA,91911
"100 Orange Avenue ",CORONADO,CA,92118
"1500 Tavern Road ",ALPINE,CA,91901
"1200 Hacienda Drive ",VISTA,CA,92081
"300 Emerald Drive ",VISTA,CA,92083
"2100 Caminito Del Barco ","DEL MAR",CA,92014
"1300 Skyridge Court ","SAN MARCOS",CA,92078
"500 Braun Avenue ","SAN DIEGO",CA,92114
"3400 James Drive ",CARLSBAD,CA,92008
"300 Roosevelt Street ","CHULA VISTA",CA,91910
"3400 Vienna Street ","SAN DIEGO",CA,92104
"300 Plaza Calimar ","CHULA VISTA",CA,91914
"3600 Central Avenue ","SAN DIEGO",CA,92105
"6600 Montezuma Road ","SAN DIEGO",CA,92115
"400 Harbor Drive ",OCEANSIDE,CA,92054
"800 Grand Avenue ","SAN DIEGO",CA,92109
"900 Tempera Court ",OCEANSIDE,CA,92057
"4300 Home Avenue ","SAN DIEGO",CA,92105
"1000 Garnet Avenue ","SAN DIEGO",CA,92109
"10100 Keppler Drive ","SAN DIEGO",CA,92124
"1000 La Ventana Court ","",CA,92078
"7900 Health Center Road ","SAN DIEGO",CA,""
"700 Madison Avenue ","CHULA VISTA",CA,91910
"1400 Peach Avenue ","EL CAJON",CA,92021
"100 Lincoln Avenue ","EL CAJON",CA,92020
"800 Ballantyne Street ","EL CAJON",CA,92021
"600 Broadway ","SAN DIEGO",CA,92101
"3500 Beyer Boulevard ","SAN DIEGO",CA,92173
"6500 Burgundy Street ","SAN DIEGO",CA,92120
"3800 Hatton Street ","SAN DIEGO",CA,92111
"1200 04 Th Avenue ","CHULA VISTA",CA,91911
"1100 E Alvarado Street ",FALLBROOK,CA,92028
"100 E Old Julian Highway ",RAMONA,CA,92065
"400 E Street ","SAN DIEGO",CA,92101
"8200 Vincetta Drive ","LA MESA",CA,91942
"1100 Garden View Road ",ENCINITAS,CA,92024
"900 W Valley Parkway ",ESCONDIDO,CA,92025
"700 Broadway ","SAN DIEGO",CA,92101
"1100 11 Th Avenue ","SAN DIEGO",CA,92101
"300 Carlsbad Village Drive ",CARLSBAD,CA,92008
"600 F Street ","SAN DIEGO",CA,92101
"1200 Borden Road ",ESCONDIDO,CA,92026
"6000 Samuel Street ","LA MESA",CA,91942
"4200 Vista Panorama Way ",OCEANSIDE,CA,92057
"3800 Demus Street ","SAN DIEGO",CA,92115
"10200 Keppler Drive ","SAN DIEGO",CA,92124
"3000 Mission Boulevard ","SAN DIEGO",CA,92109
"2000 Felspar Street ","SAN DIEGO",CA,92109
"8000 Entrada De Luz East ","SAN DIEGO",CA,92127
"1600 Coronado Avenue ","SAN DIEGO",CA,92154
"1700 Kettner Boulevard ","SAN DIEGO",CA,92101
"2100 Island Avenue ","SAN DIEGO",CA,92102
"100 E Naples Street ","CHULA VISTA",CA,91911
"13300 Community Road ",POWAY,CA,92064
"1200 Jade Cove Court ","SAN DIEGO",CA,92154
"2800 Market Street ","SAN DIEGO",CA,92102
"7600 Clairemont Mesa Boulevard ","SAN DIEGO",CA,92111
"200 S El Portal Street ",ENCINITAS,CA,92024
"400 Garden Place ","CHULA VISTA",CA,91911
"300 Shady Lane ","EL CAJON",CA,92021
"200 28 Th Street ","SAN DIEGO",CA,92102
"700 Quail Street ","SAN DIEGO",CA,92102
"2100 Fowler Drive ","SAN DIEGO",CA,92139
"11200 Big Cone Drive ",LAKESIDE,CA,92040
"1500 Orange Avenue ",CORONADO,CA,92118
"2100 Shoreview Place ","CHULA VISTA",CA,91913
"5200 Manhasset Drive ","SAN DIEGO",CA,92115
"600 Paul Street ",ESCONDIDO,CA,92027
"300 31 St Street ","SAN DIEGO",CA,92102
"5700 Central Avenue ",BONITA,CA,91902
"4300 Summit Drive ","LA MESA",CA,91941
"400 E Mission Avenue ",ESCONDIDO,CA,92025
"600 Ecken Road ","EL CAJON",CA,92020
"10500 Paseo De Linda ","",CA,92127
"4600 Mt Armet Drive ","SAN DIEGO",CA,92117
"3400 Cowley Way ","SAN DIEGO",CA,92117
"1100 Madden Avenue ","SAN DIEGO",CA,92154
"4400 Lamont Street ","SAN DIEGO",CA,92109
"800 Emerald Street ","SAN DIEGO",CA,92109
"6800 San Miguel Avenue ","LEMON GROVE",CA,91945
"4500 Ingraham Street ","SAN DIEGO",CA,92109
"3700 Hilltop Drive ","LEMON GROVE",CA,91945
"4700 Frazee Road ",OCEANSIDE,CA,92057
"1800 Reo Drive ","SAN DIEGO",CA,92139
"3600 Loma Way ","SAN DIEGO",CA,92106
"1800 Fern Street ","SAN DIEGO",CA,92102
"200 Talus Street ","CHULA VISTA",CA,91911
"3500 Sparling Street ","SAN DIEGO",CA,92115
"5600 Montezuma Road ","SAN DIEGO",CA,92115
"600 Palomar Street ","CHULA VISTA",CA,91911
"700 N Coast Highway ",OCEANSIDE,CA,92054
"4300 Rainier Way ",OCEANSIDE,CA,92054
"100 E El Norte Parkway ",ESCONDIDO,CA,92026
"10100 Sierra Madre Road ","SPRING VALLEY",CA,91977
"27400 Old Highway 80 ","PINE VALLEY",CA,91931
"1000 Leland Street ","SPRING VALLEY",CA,91977
"6000 Avenida Cuatro Vient ","RANCHO SANTA FE",CA,""
"300 47 Th Street ","SAN DIEGO",CA,92102
"200 Parkbrook Place ","SAN DIEGO",CA,92114
"700 Alvin Street ","SAN DIEGO",CA,92114
"6800 Camto Montanoso ","SAN DIEGO",CA,92119
"900 04 Th Avenue ","SAN DIEGO",CA,92101
"3500 Myrtle Avenue ","SAN DIEGO",CA,92104
"1200 Monterey Avenue ","CHULA VISTA",CA,91911
"700 Brookstone Road ","CHULA VISTA",CA,91913
"300 Walnut Avenue ",CARLSBAD,CA,92008
"4400 33 Rd Place ","SAN DIEGO",CA,92116
"300 S Weitzel Street ",OCEANSIDE,CA,92054
"400 Chambers Street ","EL CAJON",CA,92020
"9800 Deer Trail Drive ","",CA,92127
"4700 Regatta Lane ","SAN DIEGO",CA,92154
"5100 Cam Playa Portofino ","SAN DIEGO",CA,92124
"500 Broadway ","CHULA VISTA",CA,91910
"12400 Poway Road ",POWAY,CA,92064
"3700 Crown Point Drive ","SAN DIEGO",CA,92109
"1400 E Lexington Avenue ","EL CAJON",CA,92019
"200 W Lincoln Avenue ",ESCONDIDO,CA,92026
"500 Felicita Avenue ","SPRING VALLEY",CA,91977
"500 N Twin Oaks Valley Road ","SAN MARCOS",CA,92069
"3200 Greyling Drive ","SAN DIEGO",CA,92123
"1400 C Street ","SAN DIEGO",CA,92101
"3200 06 Th Avenue ","SAN DIEGO",CA,92103
"3700 Fairmount Avenue ","SAN DIEGO",CA,92105
"1800 Don Lee Place ",ESCONDIDO,CA,92029
"200 S Highway 101 ","SOLANA BEACH",CA,92075
"300 Lincoln Avenue ","EL CAJON",CA,92020
"15600 Pomerado Road ",POWAY,CA,92064
"10700 Jamacha ","SPRING VALLEY",CA,91978
"13100 Bowron Road ",POWAY,CA,92064
"200 Ave De La Plaza ",VISTA,CA,92083
"2900 Cypress Avenue ","LEMON GROVE",CA,91945
"500 Gail Drive ",VISTA,CA,92084
"600 S Rancho Santa Fe Road ","SAN MARCOS",CA,92078
"2200 Buckman Springs Road ",CAMPO,CA,91906
"2200 Ledgeview Lane ","SPRING VALLEY",CA,91977
"2500 Ulric Street ","SAN DIEGO",CA,92111
"4100 36 Th Street ","SAN DIEGO",CA,92104
"800 Lori Lane ","CHULA VISTA",CA,91910
"2200 San Diego Avenue ","SAN DIEGO",CA,92110
"200 Oxford Street ","CHULA VISTA",CA,91911
"9600 Lakeview Road ",LAKESIDE,CA,92040
"800 S Orange Avenue ","EL CAJON",CA,92020
"100 N Sunshine Avenue ","EL CAJON",CA,92020
"100 Santar Place ","SAN MARCOS",CA,92069
"800 Cte Merano ","",CA,92026
"600 Mercantile Street ",VISTA,CA,92083
"3500 45 Th Street ","SAN DIEGO",CA,92105
"3400 Alonquin Way ","SAN DIEGO",CA,92154
"4200 Cherokee Avenue ","SAN DIEGO",CA,92104
"3700 Cam Del Rio West ","SAN DIEGO",CA,92110
"4400 50 Th Street ","SAN DIEGO",CA,92115
"1400 Woodcrest Street ","CHULA VISTA",CA,91910
"4600 Farmdale Avenue ","COUNTY UNINCORPORATED",CA,""
"2500 Pio Pico Drive ",CARLSBAD,CA,92008
"600 E Street ","CHULA VISTA",CA,91910
"200 N Citrus Avenue ",ESCONDIDO,CA,92027
"7100 University Avenue ","LA MESA",CA,91941
"3200 Lemon Lane ","LEMON GROVE",CA,91945
"1900 Valle Vista Avenue ","NATIONAL CITY",CA,91950
"300 E 22 Nd Street ","NATIONAL CITY",CA,91950
"4200 Willow Court ","NATIONAL CITY",CA,""
"1600 Mc Kinley Avenue ","NATIONAL CITY",CA,91950
"400 Brooks Street ",OCEANSIDE,CA,92054
"1900 S Nevada Street ",OCEANSIDE,CA,92054
"2200 Watson Way ",VISTA,CA,92081
"1100 Madera Lane ",VISTA,CA,92084
"1400 Graves Avenue ","",CA,92021
"2100 Hoberg Road ","BORREGO SPRINGS",CA,92004
"2400 Nielsen Street ","COUNTY UNINCORPORATED",CA,""
"2600 Alpine Boulevard ",ALPINE,CA,91901
"5400 San Miguel Road ",BONITA,CA,91902
"600 Onley Drive ",VISTA,CA,92083
"9500 Mission Gorge Road ",SANTEE,CA,92071
"9900 Channel Road ",LAKESIDE,CA,92040
"100 Aurora Avenue ","SAN MARCOS",CA,92078
"1100 Hamilton ","",CA,43613
"15100 Lone Oak Trail ",RAMONA,CA,92065
"600 Maybritt Circle ","SAN MARCOS",CA,92069
"700 Teaberry Street ",ENCINITAS,CA,92024
"2300 Tocayo Avenue ","SAN DIEGO",CA,92154
"100 Hensley Street ","SAN DIEGO",CA,92102
"100 Wedgewood Drive ","SAN DIEGO",CA,92114
"15500 Paseo Jenghiz ","SAN DIEGO",CA,92129
"1700 Pacific Beach Drive ","SAN DIEGO",CA,92109
"2700 Boston Avenue ","SAN DIEGO",CA,92113
"2800 Barnard Street ","SAN DIEGO",CA,92110
"3300 C Street ","SAN DIEGO",CA,92102
"4100 Chamoune Avenue ","SAN DIEGO",CA,92105
"4200 54 Th Place ","SAN DIEGO",CA,92115
"5300 Camto Exquisito ","SAN DIEGO",CA,92130
"700 Vista Santa Ines ","SAN DIEGO",CA,92154
"8700 Gold Coast Drive ","SAN DIEGO",CA,92126
"900 Harlan Circle ","SAN DIEGO",CA,92114
"400 34 Th Street ","SAN DIEGO",CA,92102
"6700 Caminito Del Creco ","SAN DIEGO",CA,""
"4200 Bayard Street ","SAN DIEGO",CA,92109
"3200 Duke Street ","SAN DIEGO",CA,92110
"11000 Elderwood Lane ","SAN DIEGO",CA,92131
"2400 Worden Street ","SAN DIEGO",CA,92110
"6100 Mission Gorge Road ","SAN DIEGO",CA,92120
"1700 Roosevelt Avenue ","SAN DIEGO",CA,92109
"7900 Harmarsh Street ","SAN DIEGO",CA,92123
"1800 N Broadway ",ESCONDIDO,CA,92026
"500 W Vista Way ",VISTA,CA,92083
"600 Sweetwater Road ","SPRING VALLEY",CA,91977
"3800 Menlo Avenue ","SAN DIEGO",CA,92105
"1700 La Honda Drive ",ESCONDIDO,CA,92027
"2500 Jamacha Road ","",CA,92019
"3600 Lemon Grove Avenue ","LEMON GROVE",CA,91945
"600 N 02 Nd Street ","EL CAJON",CA,92021
"2000 Abbott Street ","SAN DIEGO",CA,92107
"6800 El Cajon Boulevard ","SAN DIEGO",CA,92115
"1200 E J Street ","CHULA VISTA",CA,91910
"400 Vernon Way ","EL CAJON",CA,92020
"11100 Batavia Circle ","SAN DIEGO",CA,92126
"17400 Camto Siega ","SAN DIEGO",CA,92127
"6600 Kelly Street ","SAN DIEGO",CA,92111
"2100 W Washington Street ","SAN DIEGO",CA,92110
"5900 Dandridge Lane ","SAN DIEGO",CA,92115
"9400 Kearny Mesa Road ","SAN DIEGO",CA,92126
"400 Graves Avenue ","EL CAJON",CA,92020
"2000 Fern Street ","SAN DIEGO",CA,92104
"0 E Flower Street ","CHULA VISTA",CA,91910
"800 Euclid Avenue ","NATIONAL CITY",CA,91950
"3200 Lemon Grove Avenue ","LEMON GROVE",CA,91945
"700 Loma Alta Terrace ",VISTA,CA,92083
"1500 Da Nang Drive ",CORONADO,CA,92118
"13700 Paseo Cardiel ","SAN DIEGO",CA,92129
"1700 Garnet Avenue ","SAN DIEGO",CA,92109
"2000 L Avenue ","NATIONAL CITY",CA,91950
